,Id,Title,Year,ImdbLink,IMDBScore,FirstGenre,SecondGenre,ThirdGenre,Director,FirstLeadingActor,SecondLeadingActor,ThirdLeadingActor,Poster
5204,5205,Anaganaga O Dheerudu (2011),2011,http://www.imdb.com/title/tt01621994,5.5,Adventure,Family,Fantasy,Prakash Kovelamudi,Siddharth,Shruti Haasan,Lakshmi Manchu,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyODUxODk3Ml5BMl5BanBnXkFtZTgwODk1NDA2MDE@._V1_UY268_CR9,0,182,268_AL_.jpg"
5205,5206,Kabul Express (2006),2006,http://www.imdb.com/title/tt0770214,6.9,Action,Drama,Thriller,Kabir Khan,John Abraham,Arshad Warsi,Salman Shahid,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTk3YTliODUtZDFiNS00ODFkLTllOWEtNDlkNzUzOGYzZjcxXkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_UY268_CR9,0,182,268_AL_.jpg"
5206,5207,Special 26 (2013),2013,http://www.imdb.com/title/tt02377938,8,Crime,Drama,History,Neeraj Pandey,Akshay Kumar,Anupam Kher,Manoj Bajpayee,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NDI5MjMzNF5BMl5BanBnXkFtZTcwMTc0MDQwOQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
5207,5208,I Declare War (2012),2012,http://www.imdb.com/title/tt02133239,6,Action,Comedy,Drama,Jason Lapeyre,Siam Yu,Kolton Stewart,Gage Munroe,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTg4NTQyODIyM15BMl5BanBnXkFtZTcwMjI1OTQ4OQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
5208,5209,The German Doctor (2013),2013,http://www.imdb.com/title/tt01847746,6.8,Drama,History,Thriller,LucĂ­a Puenzo,Alex BrendemĂĽhl,Diego Peretti,Guillermo Pfening,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1NDQ2NzMyMF5BMl5BanBnXkFtZTgwODI5ODUwMTE@._V1_UY268_CR1,0,182,268_AL_.jpg"
5209,5210,Parkland (2013),2013,http://www.imdb.com/title/tt02345112,6.3,Drama,History,Mystery,Peter Landesman,Zac Efron,Tom Welling,Billy Bob Thornton,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2NjkwNDE2MF5BMl5BanBnXkFtZTgwNDY5ODIxMDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
5210,5211,On the Job (2013),2013,http://www.imdb.com/title/tt02717558,7,Action,Crime,Drama,Erik Matti,Piolo Pascual,Gerald Anderson,Joel Torre,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI3NTM4NjE2NV5BMl5BanBnXkFtZTgwMTI5OTAyMDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
5211,5212,Adventures of a Teenage Dragonslayer (2010),2010,http://www.imdb.com/title/tt01373149,3.1,Adventure,Comedy,Family,Andrew Lauer,Lea Thompson,Hunter Allan,Eric Lutes,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5MjY4MTE4Nl5BMl5BanBnXkFtZTcwNzIxNzIyMw@@._V1_UY268_CR1,0,182,268_AL_.jpg"
5212,5213,Alice Upside Down (2007),2007,http://www.imdb.com/title/tt0882742,5.6,Adventure,Comedy,Drama,Sandy Tung,Alyson Stoner,Luke Perry,Lucas Grabeel,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MTc5MTUwNF5BMl5BanBnXkFtZTcwMjgwODI3MQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
5213,5214,Cloudy with a Chance of Meatballs 2 (2013),2013,http://www.imdb.com/title/tt01985966,6.5,Animation,Adventure,Comedy,Cody Cameron,Bill Hader,Anna Faris,Will Forte,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNDM0MDI1NF5BMl5BanBnXkFtZTcwNzQ5NzYxOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
5214,5215,Talaash (2012),2012,http://www.imdb.com/title/tt01787988,7.3,Crime,Drama,Mystery,Reema Kagti,Aamir Khan,Kareena Kapoor,Rani Mukerji,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTg5NzI3NzQzNl5BMl5BanBnXkFtZTcwMjM3MDU2OA@@._V1_UY268_CR1,0,182,268_AL_.jpg"
5215,5216,Poupoupidou (2011),2011,http://www.imdb.com/title/tt01736636,6.7,Comedy,Crime,Mystery,GĂ©rald Hustache-Mathieu,Jean-Paul Rouve,Sophie Quinton,Guillaume Gouix,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4NjAwMTYxMV5BMl5BanBnXkFtZTcwMzE0Mzc3Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
